File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\AdminModule.js,function($provide),7,5,5,1,2,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\AdminModule.js,function(cfpLoadingBarProvider),2,2,2,0,0,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\AdminModule.js,function(ChartJsProvider),10,4,3,0,0,0,6,15,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\AdminModule.js,"function($rootScope, $window, $anchorScroll, DTDefaultOptions, toastrConfig, blockUIConfig, MessageService)",119,77,43,5,10,1,32,106,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\HomeModule.js,function($provide),7,5,5,1,2,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\HomeModule.js,function(cfpLoadingBarProvider),2,2,2,0,0,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\HomeModule.js,function(ChartJsProvider),10,4,3,0,0,0,6,15,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\HomeModule.js,"function($rootScope, $window,$location,$route, $anchorScroll, UserService, DTDefaultOptions, toastrConfig, blockUIConfig, MessageService)",151,119,72,8,16,1,16,68,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\chartangular.js,function(),20,17,8,3,3,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\chartangular.js,function(),20,17,8,3,3,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\chartangular.js,function(),20,17,8,3,3,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\elastic.js,"function($timeout, $window, config)",199,141,80,11,34,1,24,117,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\select.js,function($templateCache),14,14,14,0,0,0,0,0,
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\directives\select.js,function($templateCache),12,12,13,0,0,0,0,0,
